Language,Family,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16
Malaylam,Dravidian,ellam,cheetta,vayaru,karuppu,ellu,divasam,marikkuka,kudikkuka,chhevy,thinnuka,mutta,kannu,acchan,meen,anju,kallu
Maltese,Semitic,kollox,trazin,zaqq,iswed,gtradma,gurnata,miet,xorob,widna,kiel,bajda,gtrajn,missier,trut,transa,sieq
Maori,Malayo-Polynesian,katoa,kino,hoopara,hiwahiwa,iwi,maeuao,hemo,inu,pokoraringa,haupa,heeki,kaikamo,paapara,ika,rima,wae
Marathi,Indic,sarva,waeet,poat,kaale,haad,diwas,marney,piney,kaan,khaney,undey,dohlaa,wa-dil,maasaa,paach,paaool
Norwegian,Germanic,alle,daarlig,mage,svart,ben,dag,aa doe,aa drikke,oere,aa spise,egg,oeye,far,risk,fem,fot
Odia,Indic,sabu,kharap,peta,kala,hada,dina,mariba,pieeba,kana,khaiba,anda,akhee,bapa,machchha,pancha,pada
Panjabi,Indic,sab,bura,pet,kala,hadi,din,marna,pina,kan,khana,anda,akh,bapa,ikan,lima,kaki
Persian,Iranian,hame,bad,shekam,siah,ostokhan,ruz,mordan,nushidan,gush,khordan,tokhm,chashm,pedar,mahi,panz,pa
Polish,Slavic,wszystko,zly,brzuch,czarny,kosc,dzien,umrzec,pic,ucho,jesc,jajko,oko,ojciec,ryba,piec,stopa
Portuguese,Romance,todo,mau,barriga,negro,osso,dia,morrer,beber,orelha,comer,ovo,olho,pai,peixe,cinco,pe
Rajasthani,Indic,sab,kharab,pet,kalo,haddi,din,marno,peeno,kon,khano,ando,onkh,baap,machli,ponch,pug
Romanian,Romance,tot,rau,burta,negru,os,zi,a muri,a bea,orechie,a minca,ou,ochi,tata,peste,cinci,picior
Russian,Slavic,vse,plokhoi,brjukho,cjornji,kost,den',umirat,pit,ukho,jest,jajtso,glaz,otjec,riba,pjat,noga
Sanskrit,Indic,sara,bura,paat,kala,haddi,din,marna,peena,kaan,khana,anda,aankh,baap,machli,paanch,pea'r
Serbian,Slavic,sve,los,trbuh,crn,kost,dan,umret,piti,uho,jesti,jaje,oko,otac,riba,pet,stopalo
Slovak,Slavic,vsetko,zly,brucho,cierny,kost,den,zomriet,pit,ucho,jest,vajce,oko,otec,ryba,pet,noha
Slovenian,Slavic,vse,slab,trebuh,crn,kost,dan,urnreti,piti,uho,jesti,jajce,oko,oce,riba,pet,noga
Spanish,Romance,todo,mal,vientre,negro,hueso,dia,morir,beber,oreja,comer,huevo,ojo,padre,pez,cinco,pie
Swahili,Bantu,ote,baya,tumbo,karipia,mfupa,siku,kufov,nywa,sikio,la,yai,jicho,baba,samaki,tano,mguu
Swedish,Germanic,alla,daolig,mage,svart,ben,dag,att doe,att dricka,oera,att aeta,aegg,oega,fader,risk,fern,fot
Tamil,Dravidian,ellaam,keduthy,vayiru,karuppu,elumbu,naal,irappu,kuditthal,kaathu,saapiduthal,muttai,kann,appaa,meen,ainthu,kaal
Telugu,Dravidian,antha,chedda,kadupu,nalla,yamuka,thinam,chavu,thagu,chevi,thinadam,kuddu,kallu,nanna,chapa,ayithu,kalu
Turkish,Turkic,butun,fena,karin,kara,kemik,gun,olmek,icmek,kulak,yemek,yumurta,goz,baba,balik,bes,ayak
Ukranian,Slavic,vse,pohane,zhevit,chorne,kistka,den',vmerte,pihte,ukho,yiste,jajtse,oko,bat'ko,rihba,pyat,noha
Welsh,Celtic,pawb,drwg,bola,du,asgwrn,dydd,marw,yfed,clust,bwyta,wy,llygad,tad,pisgodyn,pump,troed
